What is the holy book of Islam?;Quran;Bible;Torah;Vedas
Who is considered the final prophet in Islam?;Muhammad;Moses;Jesus;Buddha
What is the central pillar of Islam, involving daily prayer?;Salah;Zakat;Sawm;Hajj
In Islam, what is the name of the annual fasting month?;Ramadan;Eid;Hajj;Muharram
What is the pilgrimage to Mecca called in Islam?;Hajj;Umrah;Ziyarat;Tawaf
Which city is considered the holiest in Islam?;Mecca;Medina;Jerusalem;Cairo
In Judaism, what is the holy day of rest and worship?;Sabbath;Sunday;Friday;Saturday
What is the sacred text of Judaism?;Torah;Bible;Quran;Vedas
Who is considered the father of the three major monotheistic religions?;Abraham;Moses;Jesus;Muhammad
What is the Jewish New Year called?;Rosh Hashanah;Yom Kippur;Hanukkah;Passover
In Judaism, what is the Festival of Lights?;Hanukkah;Purim;Yom Kippur;Sukkot
Which symbol represents Judaism?;Star of David;Cross;Crescent;Om
What is the day of atonement in Judaism?;Yom Kippur;Rosh Hashanah;Passover;Sukkot
What is the significance of the Western Wall in Jerusalem for Judaism?;It is a remnant of the Second Temple;It is where Moses received the Ten Commandments;It is the birthplace of Abraham;It is the site of Jesus' crucifixion
In Islam, what is the term for the declaration of faith?;Shahada;Salah;Zakat;Hajj
What is the meaning of the word "Islam" in Arabic?;Submission;Peace;Love;Unity
What are the similarities and differences between the dietary laws in Islam and Judaism?<div class="line"
How do the concepts of God and salvation differ in Islam and Judaism?<div class="line"
Who is the wife of the Prophet Muhammad?;Khadijah;Aisha;Fatimah;Hafsah
In Judaism, what is the ceremony marking a boy's coming of age?;Bar Mitzvah;Bat Mitzvah;Brit Milah;Hannukah
Which prophet is highly revered in both Islam and Judaism?;Moses;Abraham;David;Isaiah
What is the name of the holy city in which the Dome of the Rock is located?;Jerusalem;Mecca;Medina;Cairo
In Islam, what is the term for charitable giving?;Zakat;Sadaqah;Khums;Fitrah
What is the primary language of the Quran?;Arabic;Hebrew;Persian;Turkish
Who is considered the founder of Judaism?;Abraham;Moses;David;Elijah
In Islam, what is the night journey and ascension of the Prophet Muhammad called?;Isra and Mi'raj;Hijra;Badr;Uhud
Which day marks the end of Ramadan in Islam?;Eid al-Fitr;Eid al-Adha;Laylat al-Qadr;Mawlid
What is the Jewish holiday that commemorates the Exodus from Egypt?;Passover;Rosh Hashanah;Yom Kippur;Hanukkah
What is the term for the Jewish dietary laws?;Kashrut;Halal;Kosher;Haram
What is the primary symbol of Islam that appears on many flags?;Crescent;Star of David;Menorah;Cross
What is the name of the Islamic call to prayer?;Adhan;Aqiqah;Taqiyah;Iqama
In Judaism, what is the name of the weekly scripture reading in the synagogue?;Parashah;Haftarah;Talmud;Midrash
What is the name of the holy month observed by Muslims as a time of fasting?;Ramadan;Shawwal;Dhu al-Hijjah;Muharram
What is the primary focus of the Five Pillars of Islam?;Faith, Prayer, Charity, Fasting, Pilgrimage;Commandments, Sacrifice, Rituals, Study, Charity;Meditation, Yoga, Pilgrimage, Fasting, Charity;None of the above
What is the term for the Jewish day of atonement?;Yom Kippur;Rosh Hashanah;Hanukkah;Sukkot
What is the name of the Jewish prayer shawl with fringes?;Tallit;Kippah;Tefillin;Mezuzah
What is the Islamic concept of believing in one God?;Tawhid;Shirk;Sunnah;Ijtihad
How many times a day do Muslims perform the Salah (prayer)?;Five;Three;Ten;Two
What is the central theme of the Passover holiday in Judaism?;Exodus from Egypt;Building the Temple;Sacrifice of Isaac;Battle of Jericho
Why is Mecca important in Islam?<div class="line"
How do Jewish and Islamic views on Jesus differ?<div class="line"
What role do prophets play in Islam and Judaism?<div class="line"
Explain the concept of Jihad in Islam.<div class="line"
How is the concept of the afterlife understood in Islam and Judaism?<div class="line"
Describe the significance of the Ark of the Covenant in Judaism.<div class="line"
